community,plot,number,species,family,dbh,height,ba
DEF,12,1919,Cratoxylum_formosum,Hypericaceae ,7.32,6,42.08351855
DEF,10,1314,Syzygium_albiflorum,Myrtaceae,0.96,1.5,0.723822947
MDF,15,475,Spondias_pinnata,Anacardiaceae,26.11,23,535.4311393
DEF,9,740,Sterculia_pexa,Malvaceae,2.87,5,6.469246132
DDF,2,802,Tristaniopsis_burmanica,Myrtaceae,3.18,4,7.942260388
DDF,3,1396,Dipterocarpus_tuberculatus,Dipterocarpaceae ,5.1,2,20.42820623
DEF,9,623,Lithocarpus_fenestus,Fagaceae,1.59,3,1.985565097
MDF,15,550,Millettia_kangensis,Fabaceae,1.27,3,1.266768698
DEF,10,1266,Syzygium_albiflorum,Myrtaceae,1.59,3,1.985565097
DDF,4,2205,Shorea_siamensis,Dipterocarpaceae ,10.51,5.5,86.75515967
DDF,4,2516,Garcinia_cowa,Clusiaceae,3.82,2.5,11.46084416
DDF,6,3132,Wendlandia_tinctoria,Rubiaceae,4.78,6,17.9450914
DDF,2,582,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.78,5,17.9450914
DEF,10,932,Psychotria_sp.,Rubiaceae,0.96,4,0.723822947
MDF,18,1037,Antidesma_acidum,Phyllanthaceae,1.59,2,1.985565097
MDF,15,478,Terminalia_mucronata,Combretaceae,10.83,15,92.11848665
DEF,9,679,Ixora_cibdela,Rubiaceae,2.55,2.5,5.107051557
MDF,14,183,Lannea_coromandelica,Anacardiaceae,38.54,20,1166.576711
DDF,2,1045,Craibiodendron_stellatum,Ericaceae,1.59,2,1.985565097
DEF,7,58,Castanopsis_acuminatissima,Fagaceae,1.27,3,1.266768698
MDF,13,59,Vitex_peduncularis,Verbenaceae,13.22,17,137.2627804
DEF,11,1752,Castanopsis_calathiformis,Fagaceae,44.27,20,1539.24916
DDF,3,1807,Craibiodendron_stellatum,Ericaceae,3.18,4,7.942260388
DDF,2,1058,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.82,1.5,11.46084416
DEF,11,1821,Rothmannia_sootepensis,Rubiaceae,2.55,3,5.107051557
DDF,4,2370,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.82,7,11.46084416
DEF,7,49,Cinnamomum_iners,Lauraceae,1.59,2,1.985565097
DDF,1,220,Dalbergia_oliveri,Fabaceae,7.96,6,49.76408427
MDF,16,656,Shorea_obtusa,Dipterocarpaceae ,9.24,7,67.05541024
DEF,7,44,Dipterocarpus_alatus,Dipterocarpaceae ,2.23,3.5,3.905706527
DDF,5,2627,Quercus_brandisiana,Fagaceae,21.02,9,347.0206387
DDF,3,1499,Ixora_cibdela,Rubiaceae,1.59,2,1.985565097
DDF,3,1457,Dalbergia_cultrata,Fabaceae,5.73,7,25.78689936
DDF,2,1021,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.18,3,7.942260388
DEF,7,235,Antidesma_sp.,Phyllanthaceae,1.91,2,2.86521104
DDF,3,1251,Quercus_kerrii,Fagaceae,14.01,6,154.1580301
DDF,1,145,Dipterocarpus_tuberculatus,Dipterocarpaceae ,7.64,4,45.84337664
DEF,7,375,Quercus_kerrii,Fagaceae,54.14,20,2302.111659
DDF,1,456,Tristaniopsis_burmanica,Myrtaceae,1.91,2.5,2.86521104
DDF,1,88,Shorea_siamensis,Dipterocarpaceae ,7.32,7,42.08351855
DDF,3,1277,Shorea_obtusa,Dipterocarpaceae ,10.51,7,86.75515967
MDF,16,678,Tectona_grandis,Lamiaceae,13.38,13,140.605435
DDF,1,72,Shorea_siamensis,Dipterocarpaceae ,17.2,18,232.3521927
MDF,16,834,Dalbergia_cultrata,Fabaceae,2.55,4,5.107051557
DDF,2,736,Shorea_obtusa,Dipterocarpaceae ,1.91,1.6,2.86521104
DDF,2,964,Garcinia_cowa,Clusiaceae,2.23,1.5,3.905706527
DEF,11,1795,Olea_salicifolia,Oleaceae,3.18,4,7.942260388
MDF,16,800,Dalbergia_oliveri,Fabaceae,13.69,14,147.1962607
DDF,1,71,Dipterocarpus_obtusifolius,Dipterocarpaceae ,23.89,20,448.2519431
DEF,7,172,Lithocarpus_fenestus,Fagaceae,4.78,6,17.9450914
MDF,16,620,Antidesma_acidum,Phyllanthaceae,1.75,4,2.405281875
MDF,18,982,Canarium_subulatum,Burseraceae,18.79,12,277.2958957
DDF,5,2727,Quercus_brandisiana,Fagaceae,13.06,9,133.9603382
DEF,8,553,Irvingia_malayana,Irvingiaceae,0.96,2,0.723822947
DDF,5,2670,Lithocarpus_polystachyus,Fagaceae,1.59,3,1.985565097
DDF,3,1566,Gluta_usitata,Anacardiaceae,2.23,2,3.905706527
DDF,1,48,Canarium_subulatum,Burseraceae,8.6,5,58.08804816
DDF,1,124,Shorea_siamensis,Dipterocarpaceae ,19.75,15,306.3543711
DDF,3,1335,Shorea_siamensis,Dipterocarpaceae ,10.19,10,81.55268223
DEF,11,1529,Castanopsis_acuminatissima,Fagaceae,0.64,15,0.321699088
DEF,12,1837,Engelhardia_serrata,Juglandaceae,1.59,1.6,1.985565097
DDF,4,2337,Shorea_obtusa,Dipterocarpaceae ,3.18,2.5,7.942260388
DDF,2,866,Tristaniopsis_burmanica,Myrtaceae,1.59,2.5,1.985565097
DDF,4,2044,Shorea_siamensis,Dipterocarpaceae ,1.11,3.5,0.967689077
DDF,4,2141,Craibiodendron_stellatum,Ericaceae,2.55,3.5,5.107051557
MDF,16,878,Irvingia_malayana,Irvingiaceae,3.18,4,7.942260388
DDF,3,1761,Tristaniopsis_burmanica,Myrtaceae,2.55,4,5.107051557
DEF,10,964,Castanopsis_acuminatissima,Fagaceae,3.18,6,7.942260388
DEF,11,1768,Aphanamixis_polystachya,Meliaceae,3.82,5.5,11.46084416
DEF,7,316,Colona_flagrocarpa,Tiliaceae,1.91,3,2.86521104
DDF,3,1743,Shorea_obtusa,Dipterocarpaceae ,2.55,2.5,5.107051557
DEF,10,1217,Cryptocarya_pallens,Lauraceae,1.59,3,1.985565097
DEF,7,14,Elaeocarpus_sphaericus,Elaeocarpaceae,1.27,2.5,1.266768698
DDF,5,2957,Monosis_volkameriifolia,Asteraceae,1.27,2,1.266768698
DDF,6,3402,Lithocarpus_polystachyus,Fagaceae,3.5,5,9.621127502
DDF,3,1752,Diospyros_ehretioides,Ebenaceae,1.59,2,1.985565097
DEF,7,195,Nephelium_hypoleucum,Sapindaceae,1.59,2,1.985565097
DDF,4,2178,Quercus_kerrii,Fagaceae,14.97,8,176.0084353
DDF,6,3380,Pavetta_tomentosa,Rubiaceae,2.55,4,5.107051557
DEF,10,1049,Syzygium_albiflorum,Myrtaceae,2.23,3,3.905706527
DDF,3,1712,Shorea_siamensis,Dipterocarpaceae ,2.55,2.5,5.107051557
MDF,16,594,Artocarpus_gomezianus,Moraceae,0.96,2,0.723822947
DDF,5,2893,Schima_wallichii,Theaceae,1.27,3,1.266768698
DDF,2,970,Dipterocarpus_obtusifolius,Dipterocarpaceae ,2.87,4,6.469246132
DDF,3,1552,Shorea_obtusa,Dipterocarpaceae ,3.5,3.5,9.621127502
DEF,7,67,Artocarpus_thailandicus,Moraceae,8.28,9,53.84564145
DDF,4,1941,Dillenia_obovata,Dilleniaceae,3.18,3,7.942260388
DEF,9,673,Tarennoidea_wallichii,Rubiaceae,0.96,2,0.723822947
DDF,3,1290,Aporosa_villosa,Phyllanthaceae,8.92,7,62.49130443
DDF,1,259,Aporosa_villosa,Phyllanthaceae,3.82,2.5,11.46084416
DEF,12,2039,Aporosa_octandra,Phyllanthaceae,1.91,3.5,2.86521104
DEF,10,977,Psychotria_sp.,Rubiaceae,1.27,3,1.266768698
DEF,10,1402,Syzygium_albiflorum,Myrtaceae,0.96,2,0.723822947
DDF,5,2870,Shorea_obtusa,Dipterocarpaceae ,23.89,13,448.2519431
DEF,9,736,Castanopsis_calathiformis,Fagaceae,2.87,5,6.469246132
DDF,4,2433,Gluta_usitata,Anacardiaceae,10.19,4,81.55268223
DDF,2,969,Garcinia_cowa,Clusiaceae,1.59,1.7,1.985565097
MDF,16,652,Shorea_obtusa,Dipterocarpaceae ,7.32,5,42.08351855
DDF,3,1267,Dipterocarpus_obtusifolius,Dipterocarpaceae ,5.73,4,25.78689936
DEF,11,1804,Lithocarpus_fenestus,Fagaceae,5.41,4,22.98711199
DEF,10,1261,Baccaurea_ramiflora,Phyllanthaceae,1.27,3,1.266768698
DDF,2,713,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.5,2.5,9.621127502
DEF,10,913,Castanopsis_argentea,Fagaceae,2.55,4,5.107051557
MDF,14,233,Tectona_grandis,Lamiaceae,16.24,15,207.1390267
DDF,2,917,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.14,2,13.46141036
DDF,3,1497,Tristaniopsis_burmanica,Myrtaceae,3.18,4.5,7.942260388
DEF,12,2023,Engelhardia_serrata,Juglandaceae,2.07,3,3.36535259
DDF,6,3134,Aporosa_villosa,Phyllanthaceae,4.14,4,13.46141036
DDF,5,2871,Pavetta_tomentosa,Rubiaceae,0.96,2,0.723822947
DEF,8,401,Canthium_berberidifolium,Rubiaceae,2.55,4,5.107051557
DDF,6,3227,Dalbergia_cultrata,Fabaceae,22.93,14,412.9504948
DEF,12,2190,Quercus_kingiana,Fagaceae,10.19,10,81.55268223
MDF,15,529,Tectona_grandis,Lamiaceae,25.16,21,497.1771436
DDF,1,407,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.14,2,13.46141036
DEF,12,1921,Rothmannia_sootepensis,Rubiaceae,2.87,4,6.469246132
DDF,3,1735,Tristaniopsis_burmanica,Myrtaceae,2.23,3,3.905706527
MDF,14,260,Lagerstroemia_loudonii,Lythraceae,14.33,12,161.2806489
MDF,16,828,Antidesma_sp.,Phyllanthaceae,3.82,4,11.46084416
DEF,10,1114,Castanopsis_acuminatissima,Fagaceae,1.27,4,1.266768698
DDF,6,3217,Styrax_benzoides,Styracaceae,2.23,3.5,3.905706527
DEF,11,1487,Mallotus_philippensis,Euphorbiaceae,2.87,6,6.469246132
DEF,12,2280,Rothmannia_sootepensis,Rubiaceae,4.46,6,15.62282611
DDF,5,2954,Quercus_kerrii,Fagaceae,2.55,2,5.107051557
DDF,3,1448,Semecarpus_anacardium,Anacardiaceae,8.92,7,62.49130443
DDF,2,674,Phyllanthus_emblica,Phyllanthaceae,1.27,2,1.266768698
DEF,10,1353,Garcinia_merguensis,Clusiaceae,0.64,3,0.321699088
MDF,13,11,Pterocarpus_macrocarpus,Fabaceae,14.81,17,172.2661701
DEF,7,110,Michelia_champaca,Magnoliaceae,40.76,35,1304.842916
DEF,7,20,Rothmannia_sootepensis,Rubiaceae,1.27,3,1.266768698
MDF,13,140,Vitex_peduncularis,Verbenaceae,9.87,8,76.51105434
DDF,1,322,Canarium_subulatum,Burseraceae,2.23,2.5,3.905706527
MDF,16,777,Antidesma_sp.,Phyllanthaceae,4.78,3,17.9450914
DDF,3,1889,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.5,1.7,9.621127502
DEF,8,610,Turpinia_pomifera,Staphyleaceae,1.59,2,1.985565097
DEF,9,826,Croton_roxburghii,Euphorbiaceae,20.06,10,316.0470484
DEF,12,1923,Olea_salicifolia,Oleaceae,1.59,2,1.985565097
MDF,17,955,Lagerstroemia_duperreana,Lythraceae,11.78,11,108.9884465
MDF,16,621,Shorea_obtusa,Dipterocarpaceae ,15.92,8,199.0563371
DEF,10,1144,Garcinia_merguensis,Clusiaceae,0.64,1.6,0.321699088
DDF,4,1985,Shorea_siamensis,Dipterocarpaceae ,11.15,7,97.64266317
DDF,4,2386,Dipterocarpus_obtusifolius,Dipterocarpaceae ,6.37,4.5,31.86902274
DEF,10,1257,Garcinia_merguensis,Clusiaceae,0.64,1.6,0.321699088
MDF,16,851,Eriolaena_candollei,Malvaceae,10.83,6,92.11848665
DDF,3,1821,Craibiodendron_stellatum,Ericaceae,3.18,3,7.942260388
DEF,11,1609,Siphonodon_celastrineus,Celastraceae,1.59,2,1.985565097
DEF,11,1747,Ixora_sp.,Rubiaceae,1.27,3,1.266768698
MDF,14,249,Millettia_kangensis,Fabaceae,10.19,7,81.55268223
DEF,10,1315,Syzygium_albiflorum,Myrtaceae,1.91,4,2.86521104
DEF,11,1458,Cryptocarya_pallens,Lauraceae,1.91,4,2.86521104
DDF,1,274,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.46,2,15.62282611
DDF,5,2696,Dipterocarpus_tuberculatus,Dipterocarpaceae ,7.32,5,42.08351855
DEF,7,257,Canthium_berberidifolium,Rubiaceae,3.5,4,9.621127502
DEF,7,80,Phoebe_paniculata,Lauraceae,2.55,3,5.107051557
DDF,1,439,Tristaniopsis_burmanica,Myrtaceae,2.23,3,3.905706527
DDF,6,3250,Rapanea_yunnanensis,Primulaceae,1.59,3,1.985565097
MDF,13,93,Tectona_grandis,Lamiaceae,21.02,24,347.0206387
DEF,7,15,Tarennoidea_wallichii,Rubiaceae,1.43,2,1.606060704
DDF,5,2968,Glochidion_sphaerogynum,Phyllanthaceae,5.73,6,25.78689936
DEF,7,19,Elaeocarpus_sphaericus,Elaeocarpaceae,1.27,3,1.266768698
DDF,5,2936,Rapanea_yunnanensis,Primulaceae,2.55,3,5.107051557
DEF,7,256,Phoebe_lanceolata,Lauraceae,1.59,2,1.985565097
DDF,5,2735,Dipterocarpus_tuberculatus,Dipterocarpaceae ,8.44,6.5,55.94673861
DEF,9,657,Ixora_cibdela,Rubiaceae,1.27,2,1.266768698
DEF,11,1556,Syzygium_albiflorum,Myrtaceae,1.27,2,1.266768698
DEF,10,1232,Memecylon_celastrinum,Melastomataceae,0.64,2,0.321699088
DDF,6,3457,Glochidion_zeylanicum,Phyllanthaceae,2.55,3,5.107051557
DDF,2,742,Quercus_kerrii,Fagaceae,2.55,3.5,5.107051557
DDF,3,1406,Gluta_usitata,Anacardiaceae,7.32,10,42.08351855
MDF,14,296,Tectona_grandis,Lamiaceae,14.97,17,176.0084353
DDF,6,3071,Lithocarpus_polystachyus,Fagaceae,20.7,10,336.535259
MDF,18,990,Walsura_robusta,Meliaceae,2.87,4,6.469246132
DDF,3,1702,Tristaniopsis_burmanica,Myrtaceae,1.59,4,1.985565097
DDF,3,1517,Tristaniopsis_burmanica,Myrtaceae,1.59,1.5,1.985565097
DDF,5,2650,Quercus_brandisiana,Fagaceae,19.75,11,306.3543711
DDF,2,486,Dipterocarpus_obtusifolius,Dipterocarpaceae ,14.33,10,161.2806489
DDF,2,703,Tristaniopsis_burmanica,Myrtaceae,1.59,2.5,1.985565097
DDF,2,1214,Buchanania_lanzan,Anacardiaceae,4.46,5,15.62282611
DDF,4,2544,Dalbergia_dongnaiensis,Fabacese,5.1,4,20.42820623
DEF,12,2177,Garcinia_merguensis,Clusiaceae,0.96,2.5,0.723822947
DDF,6,3029,Vaccinium_sprengelii,Ericaceae,1.27,2,1.266768698
DEF,11,1706,Cryptocarya_pallens,Lauraceae,0.96,2,0.723822947
DDF,3,1352,Shorea_siamensis,Dipterocarpaceae ,4.78,7,17.9450914
DEF,8,433,Ixora_cibdela,Rubiaceae,2.87,4,6.469246132
DDF,5,2889,Schoepfia_fragrans,Olacaceae,6.05,3,28.74753628
DEF,7,151,Ostodes_paniculata,Euphorbiaceae,1.27,1.7,1.266768698
MDF,16,816,Colona_flagrocarpa,Tiliaceae,16.56,20,215.3825658
DEF,12,2159,Castanopsis_armata,Fagaceae,0.64,1.8,0.321699088
DDF,3,1453,Shorea_obtusa,Dipterocarpaceae ,30.57,11,733.9741401
MDF,15,535,Lagerstroemia_duperreana,Lythraceae,4.3,8,14.52201204
DDF,4,2342,Gluta_usitata,Anacardiaceae,4.78,5,17.9450914
MDF,17,938,Vitex_peduncularis,Verbenaceae,8.92,7,62.49130443
MDF,13,158,Walsura_robusta,Meliaceae,1.27,2,1.266768698
DEF,12,2116,Rapanea_yunnanensis,Primulaceae,1.91,3,2.86521104
DDF,4,2338,Wendlandia_tinctoria,Rubiaceae,3.5,4.5,9.621127502
MDF,16,830,Quercus_kingiana,Fagaceae,17.52,15,241.0782804
DDF,6,3213,Wendlandia_tinctoria,Rubiaceae,2.87,4,6.469246132
MDF,16,819,Quercus_kerrii,Fagaceae,23.89,16,448.2519431
DEF,10,1174,Mallotus_philippensis,Euphorbiaceae,5.1,6,20.42820623
DDF,4,2075,Shorea_obtusa,Dipterocarpaceae ,3.5,2.5,9.621127502
DDF,4,2163,Gluta_usitata,Anacardiaceae,1.91,3,2.86521104
DEF,7,157,Ixora_cibdela,Rubiaceae,0.96,2,0.723822947
DEF,12,2151,Rapanea_yunnanensis,Primulaceae,3.18,4.5,7.942260388
DEF,10,1213,Castanopsis_argentea,Fagaceae,2.55,5,5.107051557
MDF,16,702,Canarium_subulatum,Burseraceae,6.05,6,28.74753628
DEF,12,2192,Tarennoidea_wallichii,Rubiaceae,1.11,2,0.967689077
DDF,2,581,Shorea_obtusa,Dipterocarpaceae ,18.47,10,267.9314363
MDF,15,463,Tectona_grandis,Lamiaceae,12.1,18,114.9901451
DEF,8,457,Rothmannia_sootepensis,Rubiaceae,3.18,3,7.942260388
DEF,9,644,Olea_salicifolia,Oleaceae,17.52,15,241.0782804
DDF,3,1651,Gluta_usitata,Anacardiaceae,4.14,5,13.46141036
DDF,5,2571,Aporosa_villosa,Phyllanthaceae,2.23,2,3.905706527
DDF,2,710,Shorea_obtusa,Dipterocarpaceae ,2.87,3,6.469246132
DDF,1,42,Gluta_usitata,Anacardiaceae,5.41,7,22.98711199
DDF,1,215,Dalbergia_dongnaiensis,Fabacese,6.05,4.5,28.74753628
DDF,4,2214,Craibiodendron_stellatum,Ericaceae,1.91,1.7,2.86521104
DDF,3,1321,Shorea_obtusa,Dipterocarpaceae ,9.24,10,67.05541024
MDF,16,799,Lagerstroemia_duperreana,Lythraceae,2.87,4,6.469246132
DDF,2,673,Gluta_usitata,Anacardiaceae,3.18,2,7.942260388
DEF,12,2222,Garcinia_merguensis,Clusiaceae,1.91,2.5,2.86521104
DDF,2,663,Tristaniopsis_burmanica,Myrtaceae,1.91,1.5,2.86521104
MDF,16,695,Xylia_xylocarpa,Fabaceae,7.32,5,42.08351855
MDF,14,259,Lagerstroemia_duperreana,Lythraceae,14.33,16,161.2806489
DEF,7,69,Phoebe_paniculata,Lauraceae,0.96,2,0.723822947
DDF,2,626,Quercus_kerrii,Fagaceae,7.01,5.5,38.59454429
DDF,4,2010,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.18,2,7.942260388
DEF,10,1189,Syzygium_albiflorum,Myrtaceae,0.96,2,0.723822947
DEF,9,850,Colona_elobata,Tiliaceae,2.23,3,3.905706527
DEF,8,445,Grewia_disperma,Malvaceae,20.38,11,326.2107289
DEF,9,676,Dolichandrone_columnaris,Bignoniaceae,1.27,1.5,1.266768698
DEF,12,2168,Rothmannia_sootepensis,Rubiaceae,3.66,5,10.52087964
DEF,12,2100,Rothmannia_sootepensis,Rubiaceae,1.91,3,2.86521104
DDF,3,1501,Tristaniopsis_burmanica,Myrtaceae,2.23,3.5,3.905706527
MDF,16,879,Lagerstroemia_duperreana,Lythraceae,1.59,2,1.985565097
DDF,3,1890,Shorea_obtusa,Dipterocarpaceae ,3.18,2,7.942260388
DDF,3,1510,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.18,2,7.942260388
DDF,6,3190,Melastoma_malabathricum,Melastomataceae,1.27,3,1.266768698
DEF,11,1424,Ardisia_colorata,Myrsinaceae,2.23,3.5,3.905706527
DDF,4,2016,Dipterocarpus_obtusifolius,Dipterocarpaceae ,29.62,16,689.0646804
DEF,7,373,Rothmannia_sootepensis,Rubiaceae,1.11,2,0.967689077
DEF,10,928,Olea_salicifolia,Oleaceae,1.59,3,1.985565097
DEF,8,395,Antidesma_sp.,Phyllanthaceae,1.91,4,2.86521104
DDF,4,2131,Gluta_usitata,Anacardiaceae,13.06,9,133.9603382
MDF,14,212,Spondias_pinnata,Anacardiaceae,18.47,16,267.9314363
DDF,1,84,Gluta_usitata,Anacardiaceae,25.16,13,497.1771436
DDF,4,2414,Shorea_obtusa,Dipterocarpaceae ,2.55,4,5.107051557
DDF,5,2555,Dipterocarpus_tuberculatus,Dipterocarpaceae ,14.65,7,168.5641173
DEF,7,281,Millingtonia_hortensis,Bignoniaceae,1.27,2,1.266768698
DEF,12,2309,Syzygium_albiflorum,Myrtaceae,1.27,2.5,1.266768698
DDF,2,641,Shorea_obtusa,Dipterocarpaceae ,14.65,7,168.5641173
DEF,10,1086,Castanopsis_acuminatissima,Fagaceae,1.27,3,1.266768698
DDF,2,855,Dipterocarpus_obtusifolius,Dipterocarpaceae ,2.87,2,6.469246132
MDF,16,752,Quercus_kingiana,Fagaceae,12.42,11,121.1526933
DDF,2,985,Garcinia_cowa,Clusiaceae,4.14,4,13.46141036
DDF,2,731,Shorea_siamensis,Dipterocarpaceae ,3.82,5,11.46084416
MDF,17,935,Vitex_peduncularis,Verbenaceae,12.42,12,121.1526933
DDF,3,1531,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.5,2,9.621127502
DEF,11,1834,Tarennoidea_wallichii,Rubiaceae,1.27,1.6,1.266768698
DEF,8,499,Aporosa_octandra,Phyllanthaceae,76.43,27,4587.938636
DEF,11,1465,Ixora_cibdela,Rubiaceae,1.91,2,2.86521104
DDF,1,152,Dipterocarpus_tuberculatus,Dipterocarpaceae ,7.64,6,45.84337664
DEF,12,2004,Rothmannia_sootepensis,Rubiaceae,4.46,5,15.62282611
DDF,6,3311,Quercus_brandisiana,Fagaceae,18.79,13,277.2958957
DDF,6,3192,Shorea_obtusa,Dipterocarpaceae ,2.23,2,3.905706527
DDF,2,914,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.14,3,13.46141036
DDF,6,3375,Ilex_umbellulata,Aquifoliaceae,2.23,3.5,3.905706527
DDF,5,2738,Dipterocarpus_tuberculatus,Dipterocarpaceae ,11.15,7,97.64266317
DEF,10,1230,Eriobotrya_bengalensis,Rosaceae,1.27,3,1.266768698
DEF,9,660,Castanopsis_calathiformis,Fagaceae,2.23,3,3.905706527
DEF,11,1572,Phoebe_lanceolata,Lauraceae,6.69,7,35.15135874
DEF,8,461,Colona_flagrocarpa,Tiliaceae,3.18,3.5,7.942260388
DDF,1,222,Shorea_siamensis,Dipterocarpaceae ,21.66,16,368.4739466
DEF,11,1661,Elaeocarpus_sphaericus,Elaeocarpaceae,2.07,5,3.36535259
DDF,2,954,Tristaniopsis_burmanica,Myrtaceae,3.5,4,9.621127502
MDF,13,123,Pterocarpus_macrocarpus,Fabaceae,12.1,14,114.9901451
DDF,5,2677,Aporosa_villosa,Phyllanthaceae,2.55,4,5.107051557
DDF,3,1330,Craibiodendron_stellatum,Ericaceae,6.05,2,28.74753628
DEF,7,216,Sterculia_pexa,Malvaceae,1.59,3.5,1.985565097
DEF,12,1935,Engelhardia_serrata,Juglandaceae,1.59,6,1.985565097
DDF,2,1080,Dipterocarpus_tuberculatus,Dipterocarpaceae ,2.55,1.5,5.107051557
DDF,4,2095,Phyllanthus_emblica,Phyllanthaceae,3.82,4.5,11.46084416
DDF,4,2159,Craibiodendron_stellatum,Ericaceae,5.41,4,22.98711199
DEF,9,864,Protium_serratum,Burseraceae,5.73,3.5,25.78689936
DDF,2,620,Wendlandia_tinctoria,Rubiaceae,7.96,6,49.76408427
DEF,10,1048,Castanopsis_diversifolia,Fagaceae,4.14,7,13.46141036
DEF,9,738,Ixora_cibdela,Rubiaceae,2.23,2,3.905706527
DEF,7,230,Shorea_roxburghii,Dipterocarpaceae ,2.23,3,3.905706527
MDF,16,820,Antidesma_acidum,Phyllanthaceae,2.23,3,3.905706527
DEF,11,1588,Cananga_odorata,Annonaceae,7.64,5,45.84337664
DEF,10,922,Castanopsis_argentea,Fagaceae,1.59,3.5,1.985565097
MDF,16,740,Antidesma_acidum,Phyllanthaceae,1.91,2.5,2.86521104
DEF,10,1011,Syzygium_albiflorum,Myrtaceae,0.96,2,0.723822947
DDF,2,599,Dipterocarpus_obtusifolius,Dipterocarpaceae ,10.51,8,86.75515967
DDF,4,2175,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.14,2.5,13.46141036
DDF,4,1971,Shorea_obtusa,Dipterocarpaceae ,2.87,2.5,6.469246132
DDF,1,195,Dipterocarpus_obtusifolius,Dipterocarpaceae ,32.48,18,828.5561066
MDF,18,1051,Colona_winitii,Tiliaceae,25.8,18,522.7924335
DDF,3,1484,Gluta_usitata,Anacardiaceae,9.24,6,67.05541024
MDF,15,433,Anogeissus_acuminata,Combretaceae,15.61,27,191.3796198
DEF,12,2051,Rothmannia_sootepensis,Rubiaceae,3.5,6,9.621127502
MDF,16,744,Shorea_siamensis,Dipterocarpaceae ,26.43,17,548.6358815
DEF,12,1981,Rothmannia_sootepensis,Rubiaceae,0.96,2,0.723822947
DEF,9,638,Ixora_cibdela,Rubiaceae,1.27,2,1.266768698
DDF,1,184,Shorea_siamensis,Dipterocarpaceae ,19.11,15,286.8212046
DDF,2,669,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.18,1.5,7.942260388
DDF,3,1368,Tristaniopsis_burmanica,Myrtaceae,4.78,7,17.9450914
MDF,13,96,Xylia_xylocarpa,Fabaceae,14.65,16,168.5641173
DEF,9,612,Garcinia_merguensis,Clusiaceae,3.82,3.5,11.46084416
DEF,12,2010,Nephelium_hypoleucum,Sapindaceae,2.55,3,5.107051557
DEF,7,154,Dipterocarpus_obtusifolius,Dipterocarpaceae ,4.78,6,17.9450914
DDF,3,1788,Dillenia_obovata,Dilleniaceae,2.55,1.5,5.107051557
DEF,8,398,Ixora_cibdela,Rubiaceae,0.96,2,0.723822947
DDF,6,3038,Dalbergia_cana,Fabaceae,3.5,3,9.621127502
DEF,12,2288,Rothmannia_sootepensis,Rubiaceae,3.5,6,9.621127502
DDF,4,1937,Shorea_siamensis,Dipterocarpaceae ,3.03,3.5,7.210661998
DDF,6,3015,Craibiodendron_stellatum,Ericaceae,18.79,8,277.2958957
DDF,2,622,Quercus_kerrii,Fagaceae,18.47,15,267.9314363
DEF,10,929,Castanopsis_acuminatissima,Fagaceae,4.46,7,15.62282611
MDF,16,801,Schleichera_oleosa,Sapindaceae,10.19,7,81.55268223
DDF,2,960,Quercus_kerrii,Fagaceae,1.91,2.5,2.86521104
DDF,5,2675,Semecarpus_anacardium,Anacardiaceae,8.28,6,53.84564145
DDF,2,1084,Dipterocarpus_tuberculatus,Dipterocarpaceae ,4.46,2,15.62282611
DDF,5,2654,Aporosa_villosa,Phyllanthaceae,3.18,2.5,7.942260388
DEF,11,1781,Elaeocarpus_sphaericus,Elaeocarpaceae,2.23,3,3.905706527
DEF,11,1700,Memecylon_edule,Melastomataceae,1.59,4,1.985565097
DDF,1,178,Quercus_kerrii,Fagaceae,7.01,5,38.59454429
DDF,1,126,Shorea_obtusa,Dipterocarpaceae ,13.38,13,140.605435
MDF,18,1027,Pterocarpus_macrocarpus,Fabaceae,48.73,20,1865.01661
DDF,3,1385,Shorea_obtusa,Dipterocarpaceae ,5.1,4,20.42820623
DEF,11,1639,Litsea_sp.3,Lauraceae,2.23,2.5,3.905706527
DEF,10,937,Artocarpus_gomezianus,Moraceae,0.96,2,0.723822947
MDF,15,448,Lagerstroemia_duperreana,Lythraceae,10.83,9,92.11848665
DDF,6,3453,Monosis_volkameriifolia,Asteraceae,0.96,2.5,0.723822947
DDF,3,1870,Dipterocarpus_tuberculatus,Dipterocarpaceae ,3.82,3,11.46084416
DDF,6,2986,Wendlandia_tinctoria,Rubiaceae,1.91,3,2.86521104
DDF,3,1438,Quercus_kerrii,Fagaceae,8.6,7.5,58.08804816
DDF,3,1456,Quercus_kerrii,Fagaceae,4.78,5,17.9450914
