treatment,replicate,number,germ.or.not,num.day,num.week
dry40,2,17,no,na,na
dry40,2,18,yes,11,2
dry40,2,19,yes,11,2
dry40,2,20,no,na,na
dry40,2,21,yes,11,2
dry40,2,22,yes,11,2
dry40,2,23,yes,11,2
dry40,2,24,no,na,na
dry40,2,25,yes,11,2
dry40,3,1,yes,11,2
dry40,3,2,yes,26,4
dry40,3,3,no,na,na
dry40,3,4,yes,11,2
dry40,3,5,yes,11,2
dry40,3,6,no,na,na
dry40,3,7,yes,11,2
dry40,3,8,yes,11,2
dry40,3,9,yes,11,2
dry40,3,10,no,na,na
dry40,3,11,yes,18,3
dry40,3,12,yes,18,3
dry40,3,13,yes,11,2
dry40,3,14,yes,11,2
dry40,3,15,yes,11,2
dry40,3,16,no,na,na
dry40,3,17,no,na,na
dry40,3,18,yes,11,2
dry40,3,19,yes,11,2
dry40,3,20,yes,11,2
dry40,3,21,no,na,na
dry40,3,22,yes,45,6
dry40,3,23,yes,11,2
dry40,3,24,yes,11,2
dry40,3,25,no,na,na
wet40,1,1,yes,11,2
wet40,1,2,yes,11,2
wet40,1,3,yes,11,2
wet40,1,4,yes,11,2
wet40,1,5,yes,11,2
wet40,1,6,no,na,na
wet40,1,7,yes,11,2
wet40,1,8,yes,11,2
wet40,1,9,yes,11,2
wet40,1,10,yes,11,2
wet40,1,11,yes,11,2
wet40,1,12,yes,11,2
wet40,1,13,yes,11,2
wet40,1,14,yes,11,2
wet40,1,15,yes,11,2
wet40,1,16,yes,11,2
wet40,1,17,yes,11,2
wet40,1,18,yes,11,2
wet40,1,19,yes,11,2
wet40,1,20,yes,11,2
wet40,1,21,yes,11,2
wet40,1,22,yes,11,2
wet40,1,23,yes,11,2
wet40,1,24,yes,11,2
wet40,1,25,yes,11,2
wet40,2,1,yes,11,2
wet40,2,2,yes,11,2
wet40,2,3,yes,11,2
wet40,2,4,yes,11,2
wet40,2,5,yes,11,2
wet40,2,6,yes,11,2
wet40,2,7,yes,11,2
wet40,2,8,yes,11,2
wet40,2,9,yes,11,2
wet40,2,10,yes,11,2
wet40,2,11,yes,11,2
wet40,2,12,yes,11,2
wet40,2,13,yes,11,2
wet40,2,14,yes,11,2
wet40,2,15,no,na,na
wet40,2,16,yes,11,2
wet40,2,17,yes,11,2
wet40,2,18,yes,11,2
wet40,2,19,yes,11,2
wet40,2,20,yes,11,2
wet40,2,21,yes,11,2
wet40,2,22,yes,11,2
wet40,2,23,yes,11,2
wet40,2,24,yes,11,2
wet40,2,25,yes,11,2
wet40,3,1,yes,11,2
wet40,3,2,no,na,na
wet40,3,3,no,na,na
wet40,3,4,no,na,na
wet40,3,5,yes,11,2
wet40,3,6,yes,11,2
wet40,3,7,yes,18,3
wet40,3,8,no,na,na
wet40,3,9,yes,11,2
wet40,3,10,yes,11,2
wet40,3,11,yes,11,2
wet40,3,12,yes,11,2
wet40,3,13,yes,11,2
wet40,3,14,yes,11,2
wet40,3,15,yes,11,2
wet40,3,16,yes,18,3
wet40,3,17,yes,11,2
wet40,3,18,no,na,na
wet40,3,19,yes,11,2
