date,gov,yup
11/7/2023,18.5,16.6
11/8/2023,17.8,13.9
11/9/2023,16.3,15.5
11/10/2023,17.7,16.9
11/11/2023,19.1,16.4
11/12/2023,18.6,17.3
11/13/2023,14.9,11.3
11/14/2023,13,10.3
11/15/2023,12.8,15.2
11/16/2023,14.7,13.7
11/17/2023,12.2,8.1
11/18/2023,19.5,13
11/19/2023,20.5,15.8
11/20/2023,20.5,16.6
11/21/2023,21.8,17.3
11/22/2023,22,22.4
11/23/2023,25.8,26.3
11/24/2023,23,22.6
11/25/2023,22.3,21.1
11/26/2023,23.6,24.3
11/27/2023,25,29.7
11/28/2023,25.4,24.8
11/29/2023,28.9,29
11/30/2023,33,31.3
12/1/2023,31,24.6
12/2/2023,22.7,24
12/3/2023,16.9,15.8
12/4/2023,17.1,15.8
12/5/2023,18.2,18.2
12/6/2023,19.4,19.8
12/7/2023,23,19.9
12/8/2023,23.1,21.3
12/9/2023,25,23.9
12/10/2023,16.5,15.6
12/11/2023,15.3,12.6
12/12/2023,23.2,23.1
12/13/2023,31.8,30.8
12/14/2023,34.4,36.3
12/15/2023,28.7,29.8
12/16/2023,23.9,20.7
12/17/2023,24.6,19.9
12/18/2023,25.3,20.9
12/19/2023,23.7,19.4
12/20/2023,21.8,18.5
12/21/2023,22.5,20.5
12/22/2023,23.2,18.7
12/23/2023,21.7,18.3
12/24/2023,28.3,25
12/25/2023,27.8,24.9
12/26/2023,30.5,28.3
12/27/2023,32,28.7
12/28/2023,31.2,29.8
12/29/2023,27.4,23.2
12/30/2023,25,20.2
12/31/2023,23.9,21.1
