date,gov,yup
1/1/2023,28,32
1/2/2023,24,24
1/3/2023,24,22
1/4/2023,22,20
1/5/2023,21,21
1/6/2023,19,16
1/7/2023,21,14
1/8/2023,30,28
1/9/2023,30,30
1/10/2023,25,27
1/11/2023,28,28
1/12/2023,28,29
1/13/2023,25,25
1/14/2023,22,24
1/15/2023,25,25
1/16/2023,33,36
1/17/2023,34,37
1/18/2023,46,45
1/19/2023,43,44
1/20/2023,37,36
1/21/2023,35,36
1/22/2023,32,38
1/23/2023,34,35
1/24/2023,36,42
1/25/2023,43,47
1/26/2023,43,51
1/27/2023,48,56
1/28/2023,49,55
1/29/2023,43,49
1/30/2023,38,38
1/31/2023,44,50
2/1/2023,53,66
2/2/2023,54,69
2/3/2023,63,75
2/4/2023,68,76
2/5/2023,56,58
2/6/2023,31,30
2/7/2023,27,27
2/8/2023,31,34
2/9/2023,44,51
2/10/2023,36,42
2/11/2023,39,44
2/12/2023,48,49
2/13/2023,57,59
2/14/2023,68,78
2/15/2023,100,116
2/16/2023,49,49
2/17/2023,19,16
2/18/2023,18,15
2/19/2023,19,19
2/20/2023,43,47
2/21/2023,57,64
2/22/2023,58,55
2/23/2023,66,54
2/24/2023,43,39
2/25/2023,66,58
2/26/2023,62,57
2/27/2023,62,54
2/28/2023,76,68
3/1/2023,93,85
3/2/2023,93,83
3/3/2023,102,93
3/4/2023,100,90
3/5/2023,93,81
3/6/2023,84,72
3/7/2023,91,76
3/8/2023,90,81
3/9/2023,89,75
3/10/2023,103,90
3/11/2023,103,91
3/12/2023,115,100
3/13/2023,61,53
3/14/2023,51,43
3/15/2023,51,41
3/16/2023,49,38
3/17/2023,39,35
3/18/2023,50,47
3/19/2023,51,47
3/20/2023,43,35
3/21/2023,59,52
3/22/2023,72,68
3/23/2023,74,73
3/24/2023,74,72
3/25/2023,101,94
3/26/2023,119,109
3/27/2023,104,101
3/28/2023,91,94
3/29/2023,141,149
3/30/2023,145,140
3/31/2023,188,173
4/1/2023,202,213
4/2/2023,131,137
4/3/2023,91,86
4/4/2023,105,98
4/5/2023,154,143
4/6/2023,211,210
4/7/2023,220,236
4/8/2023,143,160
4/9/2023,133,143
4/10/2023,109,109
4/11/2023,134,135
4/12/2023,146,154
4/13/2023,128,145
4/14/2023,88,92
4/15/2023,119,130
4/16/2023,128,130
4/17/2023,86,83
4/18/2023,103,98
4/19/2023,92,92
4/20/2023,81,82
4/21/2023,76,78
4/22/2023,77,75
4/23/2023,43,39
4/24/2023,46,41
4/25/2023,48,40
4/26/2023,54,50
4/27/2023,43,40
4/28/2023,44,40
4/29/2023,48,49
4/30/2023,57,48
5/1/2023,34,28
5/2/2023,34,29
5/3/2023,30,25
5/4/2023,29,25
5/5/2023,44,43
5/6/2023,50,51
5/7/2023,57,52
5/8/2023,57,60
5/9/2023,18,14
5/10/2023,24,19
5/11/2023,22,16
5/12/2023,21,20
5/13/2023,14,14
5/14/2023,17,13
5/15/2023,32,24
5/16/2023,28,21
5/17/2023,na,25
5/18/2023,37,32
5/19/2023,37,31
5/20/2023,36,30
5/21/2023,36,32
5/22/2023,35,32
5/23/2023,32,26
5/24/2023,27,22
5/25/2023,31,26
5/26/2023,31,25
5/27/2023,24,18
5/28/2023,28,23
5/29/2023,24,17
5/30/2023,20,15
5/31/2023,16,12
6/1/2023,17.2,11.8
6/2/2023,20.4,16.9
6/3/2023,23.7,15.6
6/4/2023,20.4,13.6
6/5/2023,14.6,9.6
6/6/2023,13.8,9.4
6/7/2023,14,8.1
6/8/2023,13.6,8.2
6/9/2023,20.6,14.9
6/10/2023,19.4,11.7
6/11/2023,21.8,16.2
6/12/2023,17.2,11.8
6/13/2023,15.5,12.1
6/14/2023,18,11.2
6/15/2023,18.6,14.1
6/16/2023,19.2,16.7
6/17/2023,16.8,11.4
6/18/2023,12.5,8.3
6/19/2023,12.1,6.5
6/20/2023,12.7,6.4
6/21/2023,11.3,6.6
6/22/2023,12.3,7.6
6/23/2023,12.8,8.4
6/24/2023,12.7,8.6
6/25/2023,12.6,9.2
6/26/2023,13.3,9.5
6/27/2023,12.9,9.1
6/28/2023,13.8,9.4
6/29/2023,11.6,7.8
6/30/2023,13.6,8.2
7/1/2023,13.5,10.4
7/2/2023,13.4,8.4
7/3/2023,12,6.9
7/4/2023,10.7,5.6
7/5/2023,12,4.9
7/6/2023,12.1,6.7
7/7/2023,11.2,8.7
7/8/2023,11.3,7.7
7/9/2023,14.5,7.9
7/10/2023,16.9,12.3
7/11/2023,10.8,8.1
7/12/2023,11.5,8.4
7/13/2023,9.9,6.6
7/14/2023,11.5,5.5
7/15/2023,14.7,7.2
7/16/2023,12.5,6.8
7/17/2023,14.5,11.3
7/18/2023,16.2,11.8
7/19/2023,14.4,13.1
7/20/2023,12.2,7.5
7/21/2023,11,7.8
7/22/2023,10.5,7.9
7/23/2023,12.9,8.7
7/24/2023,13.9,10.6
7/25/2023,15.4,11.2
7/26/2023,11.4,6.9
7/27/2023,11.2,7.5
7/28/2023,8.8,6.3
7/29/2023,9.3,8.6
7/30/2023,8.8,9.8
7/31/2023,9.6,8.8
8/1/2023,9.3,8.9
8/2/2023,15.3,15.5
8/3/2023,11.5,12.6
8/4/2023,16.2,17.9
8/5/2023,17.1,20.5
8/6/2023,16.2,19.1
8/7/2023,14,15.3
8/8/2023,12.3,14.8
8/9/2023,14.8,15.2
8/10/2023,15.8,18.6
8/11/2023,16.6,20.2
8/12/2023,21.4,27.6
8/13/2023,21.5,28.1
8/14/2023,22.6,27.3
8/15/2023,17.8,20.2
8/16/2023,15.3,16.5
8/17/2023,11.9,14.7
8/18/2023,13,13.3
8/19/2023,13.7,15.2
8/20/2023,12.2,14.3
8/21/2023,13.3,15.1
8/22/2023,13.2,12.8
8/23/2023,10.3,11.5
8/24/2023,14.6,18.3
8/25/2023,11.9,13
8/26/2023,13.7,12.8
8/27/2023,15.6,15
8/28/2023,18.5,17.9
8/29/2023,13.3,14.1
8/30/2023,13.2,13.5
8/31/2023,12,13.1
9/1/2023,11.7,13
9/2/2023,10.7,8.5
9/3/2023,14,13.1
9/4/2023,17.4,17.1
9/5/2023,14.9,11.3
9/6/2023,9.5,8.7
9/7/2023,7.9,5.6
9/8/2023,9.4,8.4
9/9/2023,10.4,7.7
9/10/2023,9.8,8.2
9/11/2023,9.9,8.3
9/12/2023,9.8,9
9/13/2023,10.8,10.8
9/14/2023,10.5,8.8
9/15/2023,9.7,8.5
9/16/2023,7.8,7.4
9/17/2023,8,6.7
9/18/2023,8.8,5.8
9/19/2023,9.2,8
9/20/2023,9.3,11.6
9/21/2023,9.4,10.3
9/22/2023,11.3,12.1
9/23/2023,12.5,15.4
9/24/2023,14.2,14
9/25/2023,15.4,16.4
9/26/2023,13.7,13.7
9/27/2023,12.3,12.4
9/28/2023,8,7.4
9/29/2023,7.6,6.1
9/30/2023,6.8,5.7
10/1/2023,7.7,6.5
10/2/2023,8.2,9.1
10/3/2023,10.4,10.7
10/4/2023,10.4,11.5
10/5/2023,14.9,14.7
10/6/2023,12.7,15.7
10/7/2023,9.1,10.5
10/8/2023,9.1,8.6
10/9/2023,8,8.8
10/10/2023,8.4,10.3
10/11/2023,12.3,12.3
10/12/2023,10.7,8.9
10/13/2023,10.4,10
10/14/2023,8.8,7.5
10/15/2023,8.8,8.4
10/16/2023,9.1,7.3
10/17/2023,11.4,11.2
10/18/2023,15.5,17.2
10/19/2023,14.8,18.6
10/20/2023,12.8,11.3
10/21/2023,15.9,15.3
10/22/2023,20.1,18.3
10/23/2023,15.8,12.3
10/24/2023,16.1,14.5
10/25/2023,17.4,18.3
10/26/2023,14.8,16.2
10/27/2023,17.9,15.6
10/28/2023,9.4,8.9
10/29/2023,11,11.2
10/30/2023,10.9,10.2
10/31/2023,8.5,5.2
11/1/2023,10,7.7
11/2/2023,12.3,12.4
11/3/2023,15.2,14.8
11/4/2023,13.8,14.2
11/5/2023,15.3,13.4
11/6/2023,14.7,13.6
